Tag,ID,Content,Jump,Effect,Image
#,0,Thank you very much for participating in our playtest@ what you have just experienced is an early model of our game. Based on the gameplay experience@ we would like your feedback and suggestions for the game.,1,,0
#,1,Which of the following side-scrolling games is your favorite?,2,,0
&,2,Celeste,5,,
&,3,Cuphead,5,,
&,4,Hollow Knight,5,,
#,5,What's your preference for side-scolling game,6,,0
&,6,Platform genre,9,,
&,7,Beat'em up genre,9,,
&,8,Shooter genre,9,,
#,9,We would like to visualise the life value of the character@ what colour would you prefer to use to represent the life value.,10,,0
&,10,Red,13,Red,
&,11,Green,13,Green,
&,12,Blue,13,Blue,
#,13,We would like to improve our graphics@ which part would you like to improve the most.,14,,0
&,14,Specific Images of the game's protagonists and enemies,17,Image,
&,15,Richer game maps,17,Map,
&,16,Coherent character animations,17,Animation,
#,17,All the suggestions just made are very valuable and we will improve the graphics of the game. Where do you want the game to take place?,18,,0
&,18,Deep in the vibrant forest,20,Forest,
&,19,Hidden and dark underground caves,20,Cave,
#,20,What type of the monster are you afraid of?,21,,0
&,21,Snake,24,,
&,22,Tiger,24,,
&,23,Mouse,24,,
END,24,,,,
